workload,frames,accesses,ai_hits,ai_faults,ai_hit_rate,lru_hits,lru_faults,lru_hit_rate
sequential,2,2021,7,2014,0.0035,0,2021,0.0000
sequential,3,2021,14,2007,0.0069,0,2021,0.0000
sequential,4,2021,21,2000,0.0104,0,2021,0.0000
sequential,5,2021,28,1993,0.0139,0,2021,0.0000
sequential,6,2021,35,1986,0.0173,0,2021,0.0000
sequential,8,2021,49,1972,0.0242,0,2021,0.0000
sequential,10,2021,63,1958,0.0312,0,2021,0.0000
strided,2,1017,16,1001,0.0157,0,1017,0.0000
strided,3,1017,32,985,0.0315,0,1017,0.0000
strided,4,1017,48,969,0.0472,0,1017,0.0000
strided,5,1017,64,953,0.0629,0,1017,0.0000
strided,6,1017,80,937,0.0787,0,1017,0.0000
strided,8,1017,112,905,0.1101,0,1017,0.0000
strided,10,1017,143,874,0.1406,0,1017,0.0000
random,2,2522,15,2507,0.0059,19,2503,0.0075
random,3,2522,27,2495,0.0107,27,2495,0.0107
random,4,2522,36,2486,0.0143,43,2479,0.0170
random,5,2522,46,2476,0.0182,53,2469,0.0210
random,6,2522,54,2468,0.0214,67,2455,0.0266
random,8,2522,74,2448,0.0293,87,2435,0.0345
random,10,2522,96,2426,0.0381,103,2419,0.0408
locality,2,2776,346,2430,0.1246,347,2429,0.1250
locality,3,2776,514,2262,0.1852,518,2258,0.1866
locality,4,2776,691,2085,0.2489,703,2073,0.2532
locality,5,2776,863,1913,0.3109,886,1890,0.3192
locality,6,2776,1038,1738,0.3739,1050,1726,0.3782
locality,8,2776,1385,1391,0.4989,1379,1397,0.4968
locality,10,2776,1725,1051,0.6214,1689,1087,0.6084
