workload,frames,accesses,ai_hits,ai_faults,ai_hit_rate,opt_correct,opt_decisions,opt_agreement
sequential,2,2021,7,2014,0.0035,2012,2012,1.0000
sequential,3,2021,14,2007,0.0069,1771,2004,0.8837
sequential,4,2021,21,2000,0.0104,1996,1996,1.0000
sequential,5,2021,28,1993,0.0139,1757,1988,0.8838
sequential,6,2021,35,1986,0.0173,1750,1980,0.8838
sequential,8,2021,49,1972,0.0242,1964,1964,1.0000
sequential,10,2021,63,1958,0.0312,1722,1948,0.8840
strided,2,1017,16,1001,0.0157,998,999,0.9990
strided,3,1017,32,985,0.0315,976,982,0.9939
strided,4,1017,48,969,0.0472,964,965,0.9990
strided,5,1017,64,953,0.0629,944,948,0.9958
strided,6,1017,80,937,0.0787,928,931,0.9968
strided,8,1017,112,905,0.1101,896,897,0.9989
strided,10,1017,143,874,0.1406,810,864,0.9375
random,2,2522,15,2507,0.0059,987,2505,0.3940
random,3,2522,27,2495,0.0107,669,2492,0.2685
random,4,2522,36,2486,0.0143,547,2482,0.2204
random,5,2522,46,2476,0.0182,417,2471,0.1688
random,6,2522,54,2468,0.0214,352,2462,0.1430
random,8,2522,74,2448,0.0293,284,2440,0.1164
random,10,2522,96,2426,0.0381,246,2416,0.1018
locality,2,2776,346,2430,0.1246,1234,2428,0.5082
locality,3,2776,514,2262,0.1852,770,2259,0.3409
locality,4,2776,691,2085,0.2489,532,2081,0.2556
locality,5,2776,863,1913,0.3109,386,1908,0.2023
locality,6,2776,1038,1738,0.3739,283,1732,0.1634
locality,8,2776,1385,1391,0.4989,183,1383,0.1323
locality,10,2776,1725,1051,0.6214,120,1041,0.1153
