workload,frames,accesses,ai_hit_rate,lru_hit_rate,fifo_hit_rate,ai_faults,lru_faults,fifo_faults
sequential,2,2021,0.0035,0.0000,0.0000,2014,2021,2021
sequential,3,2021,0.0069,0.0000,0.0000,2007,2021,2021
sequential,4,2021,0.0104,0.0000,0.0000,2000,2021,2021
sequential,5,2021,0.0139,0.0000,0.0000,1993,2021,2021
sequential,6,2021,0.0173,0.0000,0.0000,1986,2021,2021
sequential,8,2021,0.0242,0.0000,0.0000,1972,2021,2021
sequential,10,2021,0.0312,0.0000,0.0000,1958,2021,2021
strided,2,1017,0.0157,0.0000,0.0000,1001,1017,1017
strided,3,1017,0.0315,0.0000,0.0000,985,1017,1017
strided,4,1017,0.0472,0.0000,0.0000,969,1017,1017
strided,5,1017,0.0629,0.0000,0.0000,953,1017,1017
strided,6,1017,0.0787,0.0000,0.0000,937,1017,1017
strided,8,1017,0.1101,0.0000,0.0000,905,1017,1017
strided,10,1017,0.1406,0.0000,0.0000,874,1017,1017
random,2,2522,0.0059,0.0075,0.0075,2507,2503,2503
random,3,2522,0.0107,0.0107,0.0107,2495,2495,2495
random,4,2522,0.0143,0.0170,0.0174,2486,2479,2478
random,5,2522,0.0182,0.0210,0.0222,2476,2469,2466
random,6,2522,0.0214,0.0266,0.0266,2468,2455,2455
random,8,2522,0.0293,0.0345,0.0341,2448,2435,2436
random,10,2522,0.0381,0.0408,0.0416,2426,2419,2417
locality,2,2776,0.1246,0.1250,0.1250,2430,2429,2429
locality,3,2776,0.1852,0.1866,0.1891,2262,2258,2251
locality,4,2776,0.2489,0.2532,0.2475,2085,2073,2089
locality,5,2776,0.3109,0.3192,0.3199,1913,1890,1888
locality,6,2776,0.3739,0.3782,0.3836,1738,1726,1711
locality,8,2776,0.4989,0.4968,0.4957,1391,1397,1400
locality,10,2776,0.6214,0.6084,0.6084,1051,1087,1087
